ID,Name,ISO,Voltage,Capacity,Duration,Target COD
JP0126,Ewood,ERCOT,138.0,100.0,2.0,2028-06-01 00:00:00
JP0135,B Prairie Energy Storage,ERCOT,345.0,300.0,2.0,2027-12-01 00:00:00
JP0095,Reef Czar,ERCOT,345.0,200.0,2.0000000000000004,2028-06-01 00:00:00
JP0098,A Road,ERCOT,138.0,150.0,2.0,2028-06-01 00:00:00
JP0127,Millwater,ERCOT,345.0,500.0,2.0,2028-06-01 00:00:00
JP0018.1,Voy A Ger 1,MISO,120.0,100.0,4.0,2027-06-01 00:00:00
JP0136,Balcony and Ridge,ERCOT,137.7,300.0,2.0,2027-12-01 00:00:00
JP0044,Aqueduct ,ERCOT,345.0,300.0,2.0,2027-06-01 00:00:00
JP0050.2,Callus II,ERCOT,138.0,300.0,2.0,2026-06-01 00:00:00
JP0059.2,Timothy Pickle II,ERCOT,345.0,200.0,2.0,2026-06-01 00:00:00
JP0018.2,Grand Basin,MISO,138.0,100.0,4.0,2027-12-01 00:00:00
JP0082,Side Lake,MISO,138.0,100.0,4.0,2028-06-01 00:00:00
JP0058,Hack,MISO,138.0,100.0,4.0,2028-06-01 00:00:00
JP0059,Timothy Pickle V - VIII,ERCOT,345.0,200.0,2.0,2025-12-01
